,text
26,February 27 – Russian invasion of Ukraine: European nations ban Russian flights in their airspace.
27,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently."
28,"February 28 – The Intergovernmental Panel on Climate Change (IPCC) releases the second part of its Sixth Assessment Report on climate change. It concludes that many impacts are on the verge of becoming ""irreversible""."
29,"February 28 – Russian invasion of Ukraine: Russian and Ukrainian officials meet on the Belarus-Ukraine border for the first round of peace talks, with no resolution."
30,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.
31,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes."
32,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.
33,"March 1 – Russian invasion of Ukraine: In an emergency session, United Nations member states pass a resolution deploring Russia's invasion of Ukraine and calling for the immediate withdrawal of its forces."
34,"March 2 – Russian invasion of Ukraine: Russia captures its first large city, the Black Sea port of Kherson, as shelling intensifies across many parts of Ukraine, including civilian areas."
35,March 2 – Russian invasion of Ukraine: The United Nations reports that over a million refugees have now fled from Ukraine to other countries.
36,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.
37,Russian invasion of Ukraine: Russia is condemned by world leaders following an attack by its troops on the Zaporizhzhia nuclear plant – the largest in Europe – which led to a fire at the site.
38,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian."
39,"March 4 – March 13 – The 2022 Winter Paralympics are held in Beijing, China, making it the first city to host both Summer Paralympics and Winter Paralympics."
40,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people."
41,"March 5 – Researchers in the Antarctic find Endurance, one of the greatest ever undiscovered shipwrecks, which sank in 1915 during Ernest Shackleton's exploration."
42,March 7 – COVID-19 pandemic: The global death toll from COVID-19 surpasses 6 million.
43,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas."
44,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.
45,March 9 – Russian invasion of Ukraine: Russia is condemned by world leaders following an air strike in Mariupol that destroys a hospital including a maternity and children's ward.
46,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote."
47,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.
48,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes."
49,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.
50,"March 19 – The apostolic constitution Praedicate evangelium, reforming the Roman Curia, is promulgated by Pope Francis, coming into force on 5 June."
51,"March 21 – China Eastern Airlines Flight 5735 crashes in Guangxi, China, killing all 133 people on board."
52,"March 24 – Russian invasion of Ukraine: NATO announces that four new battlegroups totaling 40,000 troops will be deployed in Bulgaria, Hungary, Romania and Slovakia, along with enhanced readiness for potential chemical, biological, radiological and nuclear threats."
53,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo."
54,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.
55,"March 31 – Expo 2020 closes in Dubai after a 6-month run; originally scheduled for 10 April 2021, it was delayed due to the COVID-19 pandemic."
56,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre."
57,"April 3 – The second round of voting of the 2022 Costa Rican general election is held, and Social Democratic Progress Party presidential candidate Rodrigo Chaves Robles is elected president."
58,"April 4 – The Intergovernmental Panel on Climate Change (IPCC) releases the third and final part of its Sixth Assessment Report on climate change, warning that greenhouse gas emissions must peak by 2025 at the latest and decline 43% by 2030, in order to limit global warming to 1.5 °C (2.7 °F)."
59,April 6 – The first known dinosaur fossil linked to the very day of the Chicxulub impact is reported by palaeontologists.
60,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining."
61,"April 7 – President of Yemen Abdrabbuh Mansur Hadi resigns from office, dismisses vice president Ali Mohsen al-Ahmar, and transfers both offices' powers to the newly formed eight-member Presidential Leadership Council, chaired by Rashad al-Alimi."
62,"April 8 – Russian invasion of Ukraine: Russia is condemned by world leaders following a missile attack on Kramatorsk train station, which kills 59 civilians trying to evacuate, including seven children."
63,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis."
64,"April 11 – The National Assembly of Pakistan elects leader of the opposition Shehbaz Sharif as prime minister of Pakistan, after Imran Khan is removed from office following a motion of no confidence two days prior."
65,April 13 – COVID-19 pandemic: The number of confirmed cases exceeds 500 million worldwide.
66,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire."
67,"April 18 – Russian invasion of Ukraine: The battle of Donbas begins, leading to the deaths of several thousand military personnel and civilians."
68,"April 19 – The second round of voting of the 2022 East Timorese presidential election is held and the National Congress for Timorese Reconstruction party presidential candidate, former president and former prime minister José Ramos-Horta is elected."
69,"April 20 – A European Southern Observatory team announce the discovery of micronovae, a new type of exploding star."
70,"April 22 – The Large Hadron Collider recommences full operations, three years after being shut down for upgrades."
71,"April 24 – The 2022 Slovenian parliamentary election is held to elect all 90 members of the National Assembly of Slovenia, the lower house of the Slovenian Parliament; the Freedom Movement party becomes the largest party, winning 41 of 90 seats."
72,"April 25 – Elon Musk reaches an agreement to acquire the social media network Twitter (which he later rebrands as X) for $44 billion USD, which later closes in October."
73,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.
74,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić."
75,"May 6 – 2022 monkeypox outbreak: An outbreak of monkeypox begins when the first monkeypox virus case is reported in London, the United Kingdom."
76,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.
77,May 9 – 2022 Philippine presidential election: Bongbong Marcos and Sara Duterte are elected the 17th President and 15th Vice President of the Philippines in a landslide victory.
78,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania""."
79,"May 12 – The Event Horizon Telescope collaboration reveals its first image of Sagittarius A*, the supermassive black hole at the centre of the Milky Way."
80,May 13 – Mohamed bin Zayed Al Nahyan is elected as the 3rd president of the United Arab Emirates by the Federal Supreme Council following the death of Khalifa bin Zayed Al Nahyan a day earlier.
81,"May 15 – Former President of Somalia Hassan Sheikh Mohamud is elected president again, beating President Mohamed Abdullahi Mohamed."
82,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.
83,"May 20 – 2022 monkeypox outbreak: The World Health Organization (WHO) holds an emergency meeting to discuss the spread of monkeypox in nearly a dozen countries, as the number of reported cases reaches 100."
84,"May 21 – 2022 Australian federal election: The Labor party, led by Anthony Albanese, defeats the Liberal-National Coalition government led by Prime Minister Scott Morrison. Albanese would be sworn in on May 23."
85,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and 2 teachers at Robb Elementary School.
86,May 27 – Fiji announces that it will become the 14th member of the Indo-Pacific Economic Framework for Prosperity in order to counter Chinese influence in the Pacific. This comes amid a visit by Chinese foreign minister Wang Yi to Kiribati.
87,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France."
88,June 4 – Retired general Bajram Begaj is elected the 9th President of Albania by the parliament in the 4th round of voting.
89,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria."
90,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War."
91,"June 19 – The second round of the 2022 legislative election is held in France, resulting in a hung parliament, with President Macron's coalition losing its majority in the National Assembly. A newly-formed coalition of left-wing parties, led by far-left Jean-Luc Mélenchon, makes significant gains. Marine Le Pen's far-right National Rally also makes historic gains, increasing its number of MPs tenfold and becoming the largest opposition party in Parliament. Two weeks later, Macron's government is reshuffled, continuing as a minority administration."
92,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez."
93,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people."
94,"June 23 – Dickon Mitchell's party wins a majority of seats in Grenada's general election, defeating Prime Minister Keith Mitchell's party. Mitchell is appointed Prime Minister of Grenada, following Keith Mitchell's resignation on June 24."
95,June 26 – G7 leaders gather for a summit in Germany to discuss the situation in Ukraine. A ban on imports of Russian gold is announced.
96,"June 27 – 53 migrants from Mexico, Honduras, Guatemala, and El Salvador are found dead in a tractor trailer in San Antonio, Texas, United States."
97,"June 28 – June 30 – A NATO summit is held in Madrid, Spain along with the presence of guest countries from the European Union and the Indo-Pacific primarily searching for a consensual defensive reinforcement after the Russian invasion of Ukraine and the sustained threatening over the territorial integrity of other countries."
98,"July 1 – Yair Lapid succeeds Naftali Bennett as Prime Minister of Israel, while Bennett succeeds Lapid as Alternate Prime Minister of Israel; this arrangement had been created after the 2021 Israeli legislative election, in which no party won an outright majority."
99,"July 6 – July 31 – UEFA Women's Euro 2022 is held in England, with the hosts winning their first major tournament since 1966."
100,"July 7 – July 17 – The 2022 World Games is held in Birmingham, Alabama, United States."
101,"July 7 – After revelations over his appointment of Chris Pincher as Deputy Chief Whip triggered a series of resignations from his government, UK Prime Minister Boris Johnson announces his intention to resign, triggering the July–September 2022 Conservative Party leadership election."
102,"July 8 – Former Prime Minister of Japan Shinzo Abe is assassinated while giving a public speech in the city of Nara, Japan."
103,"July 11 – The first operational image from the James Webb Space Telescope, showing the galaxy cluster SMACS 0723, is revealed to the public."
104,"July 18 – Droupadi Murmu is elected as President of India, making her the first tribal woman and youngest person to be elected to the office."
105,"July 19 – 2022 European heat waves: A series of severe heatwaves from July to August hit Europe, causing at least 53,000 deaths and additionally causing major wildfires, travel disruption, and record high temperatures in many countries."
106,"July 21 – The Parliament of Sri Lanka elects Prime Minister Ranil Wickremesinghe as President of Sri Lanka, following the resignation of Gotabaya Rajapaksa amid protests over the ongoing economic crisis."
107,"July 21 – The European Central Bank raises its key interest rate for the first time in more than 11 years, from minus 0.5 per cent to zero, with plans for further increases later in the year."
108,"July 23 – The World Health Organization (WHO) declares the recent monkeypox outbreak a Public Health Emergency of International Concern, as the number of reported cases exceeds 17,000 in 75 countries."
109,July 27 – A 7.0 earthquake strikes the island of Luzon in the Philippines killing 11 people and injuring over 600.
110,"July 28–August 8 – The 2022 Commonwealth Games is held in Birmingham, England."
111,"July 31 – Ayman al-Zawahiri, the Egyptian terrorist who became the 2nd Emir of al-Qaeda after Osama bin Laden's death in 2011, is killed in an airstrike in Kabul, Afghanistan conducted by the United States' Central Intelligence Agency."
112,"August 4 – China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi, the highest-ranking U.S. official to visit Taiwan since the 1990s."
113,"August 4 – The Prime Minister of Peru, Aníbal Torres, resigns following multiple criminal investigations against the President of Peru, Pedro Castillo."
114,"August 5 – August 7 – Israel launches airstrikes in the Gaza Strip, killing Islamic Jihad military leader Tayseer Jabari. Both parties agree to a ceasefire after three days of skirmish."
115,August 6 – Terrance Drew is sworn in as prime minister of Saint Kitts and Nevis.
116,"August 9 – 2022 Kenyan general election: William Ruto is elected as Kenya's 5th president, defeating longtime opposition leader Raila Odinga. His victory is certified by the nation's election supervisory agency on August 15 amid protests and violence by Odinga supporters."
117,"August 10 – Spanish club Real Madrid beat German club Eintracht Frankfurt 2–0 to win the 2022 UEFA Super Cup played at the Olympic Stadium in Helsinki, Finland."
118,"August 12 – Indian-born British-American novelist Salman Rushdie is stabbed multiple times as he is about to give a public lecture at the Chautauqua Institution in Chautauqua, New York, United States."
119,August 17 – Turkey and Israel agree to restore full diplomatic relations after a period of tensions.
120,"August 19 – The coalition government of Montenegrin prime minister Dritan Abazović collapses after the 81-seat Parliament of Montenegro passes a motion of no confidence in a vote of 50–1, following dispute within the coalition over an agreement the government signed with the Serbian Orthodox Church."
121,"August 27 – September 11 – The 2022 Asia Cup is held in the United Arab Emirates, and is won by Sri Lanka."
122,"August 28 – 2022 Pakistan floods: Pakistan declares a ""climate catastrophe"" and appeals for international assistance, as the death toll from recent flooding in the country exceeds 1,000, the world's deadliest flood since 2017. Several nations, alongside the UN, pledge millions in funding for aid."
123,"August 4 – August 30 - The last Soviet Leader , Mikhail Gorbachev died at the age of 91.https://www.nytimes.com/2022/08/30/world/europe/mikhail-gorbachev-dead.html"
124,September 1 – The UN releases a report stating that the Chinese government's Xinjiang internment camps and treatment of Uyghurs may constitute crimes against humanity.
125,September 2 – Russian invasion of Ukraine: The G7 economies agree to impose a price cap on Russian petroleum exports.
126,"September 5 – A 6.8 earthquake strikes Luding County in Sichuan province, China, killing 117 and injuring 424."
127,September 6 – Liz Truss is appointed Prime Minister of the United Kingdom after winning the July–September 2022 Conservative Party leadership election.
128,September 8 – Queen Elizabeth II of the United Kingdom and 14 other Commonwealth realms dies at Balmoral Castle in Scotland at the age of 96. Her son Charles III succeeds her as King.
129,"September 11 – The 2022 Swedish general election is held to elect all 349 seats of the Riksdag. Prime Minister Magdalena Andersson resigns after her centre-left bloc narrowly loses to a bloc of right-wing parties, 176 seats to 173; Andersson is succeeded as prime minister by Ulf Kristersson in October."
130,"September 12 – September 2022 Armenia–Azerbaijan clashes: Azerbaijan attacks Armenian positions near the cities of Vardenis, Goris, Sotk and Jermuk, and occupies certain areas of its territory along the Armenia–Azerbaijan border. Over the next few days, more than 100 Armenian soldiers are killed in the clashes, while Azerbaijan acknowledges 71 fatalities among its forces."
131,September 14–September 20 – 2022 Kyrgyzstan–Tajikistan clashes: Dozens are killed as sporadic clashes occur between Kyrgyz and Tajik troops along their countries' respective border.
132,"September 14–September 25 – The Atlantic hurricane Fiona hits Guadeloupe, Puerto Rico, the Dominican Republic, the Lucayan Archipelago, Bermuda, and Eastern Canada."
133,"September 16 – Protests erupt in Iran following the death of Mahsa Amini in the custody of the country's ""morality police""."
134,"September 19 – The state funeral of Elizabeth II is held in Westminster Abbey, London. Her coffin is then taken by procession to Windsor Castle for burial with her husband, parents and sister in the King George VI Memorial Chapel. The funeral is speculated to be the most watched television event in world history."
135,"September 21 – Russian invasion of Ukraine: Following a major counteroffensive by Ukraine in the east of the country, Putin announces a partial mobilisation of Russia and threatens nuclear retaliation, saying ""this is not a bluff""."
136,"September 22 – October 1 – The 2022 FIBA Women's Basketball World Cup is held in Sydney, Australia. In the final, United States wins 83–61 against China."
137,September 24 – The 2022 Nauruan parliamentary election was held which saw Ubenide parliament member Russ Kun be elected president by parliament.
138,"September 25 – The 2022 Italian general election is held to elect all 400 seats of the Chamber of Deputies and 200 seats of the Senate of the Republic (reduced from 630 and 215 respectively according to the outcome of the 2020 constitutional referendum). Observers commented that the results shifted the geopolitics of the European Union, following far-right gains in France, Spain, and Sweden. It was also noted that the election outcome would mark Italy's most right-wing government since 1945."
139,September 26 – NASA's DART crashes into the asteroid Dimorphos in a first test of potential planetary defense.
140,"September 26 – The Nord Stream pipeline sabotage occurs by an unknown perpetrator off the coast of Bornholm, Denmark with explosions on two pipelines leaving them inoperable."
141,"September 27–September 30 – Hurricane Ian impacts Cuba and the United States, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entire nation of Cuba."
142,"September 27 – Russian occupation authorities in Ukraine claim that their annexation referendums show an overwhelming support for the annexation by Russia of the Donetsk People's Republic, the Luhansk People's Republic, and parts of Kherson Oblast and Zaporizhzhia Oblast. However, the voting is widely dismissed as a sham referendum."
143,"September 30 – Annexation of Southern and Eastern Ukraine: Russian President Vladimir Putin signs treaties absorbing the occupied regions of Donetsk, Luhansk, Kherson and Zaporizhzhia into the Russian Federation. This annexation is seen as a breach of international law by the global community."
144,"September 30 – Burkina Faso's military junta is overthrown by the country's second coup of the year, led by army captain Ibrahim Traoré."
145,"October 1 – A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 135 people and injuring more than 500."
146,October 5 – OPEC+ imposes a production cut of up to 2 million barrels per day.
147,"October 8 – Russian invasion of Ukraine: An explosion occurs on the Crimean Bridge connecting Crimea and Russia, killing three and causing a partial collapse of the only road bridge between the Crimean Peninsula and the Russian mainland. Two days later, retaliatory missile strikes are conducted by Russia across Ukraine, the most widespread since the start of the invasion, notably including attacks on Kyiv."
148,"October 16–October 23 – The 20th National Congress of the Chinese Communist Party is held. Xi Jinping is elected as General Secretary by the Central Committee, beginning a third term as the paramount leader of China."
149,"October 20 – After 45 days in office, Liz Truss announced her resignation as leader of the Conservative Party and her intention to resign as prime minister of the United Kingdom."
150,"October 25 – Amid a government crisis, Rishi Sunak becomes Prime Minister of the United Kingdom, following the resignation of Liz Truss the previous week resulting in a 50-day tenure."
151,October 28 – Elon Musk completes his $44 billion acquisition of Twitter.
152,October 28 – Sam Matekane is sworn in as Prime Minister of Lesotho after securing a victory in the 7 October elections.
153,"October 29 – At least 158 people are killed and another 197 injured in a crowd crush during Halloween festivities in Seoul, South Korea."
154,"October 29 – A double car bombing by al-Shabaab in Mogadishu, Somalia kills at least 121 people and injures around 300."
155,"October 29 – Russian invasion of Ukraine: In response to an alleged Ukrainian drone attack against the Black Sea Fleet, Russia withdraw from a U.N.-brokered deal on the shipment of grain, which had brought down soaring global food prices."
156,"October 30 – 2022 Brazilian general election: Luiz Inácio Lula da Silva defeats incumbent Jair Bolsonaro in a runoff election after neither candidate secured a majority in the first round of voting. Lula da Silva is the first president elected three times, and also the oldest one, at 77."
157,"October 30 – The collapse of a suspension bridge in Gujarat, India, leaves at least 135 dead."
158,"November 1 – 2022 Israeli legislative election: A bloc of right-wing and far-right political parties led by former Prime Minister Benjamin Netanyahu wins a 64-seat majority (out of 120), allowing him to be sworn in as Prime Minister of Israel for a third time in December."
159,"November 1 – 2022 Danish general election: A bloc of left-leaning political parties wins a narrow one-seat majority of 90 seats. Incumbent Prime Minister Mette Frederiksen's second government takes office, in December not using the left-leaning majority but instead consisting of Venstre and the Moderates."
160,"November 2–November 3 – Tigray War: The Ethiopian government and the TPLF agree to a formal cessation of hostilities, signing a peace agreement in Pretoria, South Africa."
161,"November 6–November 18 – The 2022 United Nations Climate Change Conference (COP27) on climate change mitigation takes place in Sharm el-Sheikh, Egypt."
162,"November 11 – The cryptocurrency exchange FTX, once valued at $18 billion, files for Chapter 11 bankruptcy, in a collapse that affects the cryptocurrency environment."
163,"November 11 – Russian invasion of Ukraine: Ukrainian forces recapture Kherson, the only regional capital to be taken by Russia since the start of the war."
164,November 15 – The world population reaches 8 billion.
165,"November 15 – The 2022 G20 Bali summit in Bali, Indonesia takes place."
166,"November 16 – NASA launches Artemis 1, the first uncrewed mission of its Space Launch System, the most powerful rocket ever to reach orbit. The onboard Orion capsule orbits the Moon before returning to Earth, as a demonstration of planned human missions."
167,"November 19 – The 2022 Malaysian general election results in a hung parliament, which is the first in the country's history. Long-time opposition leader Anwar Ibrahim is appointed by Yang di-Pertuan Agong Abdullah as prime minister five days later to break the political deadlock and form a unity government."
168,"November 19–November 26 – The 2022 Central American and Caribbean Beach Games are held in Santa Marta, Colombia."
169,November 20–December 18 – The 2022 FIFA World Cup is held in Qatar and won by Argentina.
170,"November 20 – 2022 Nepalese general election: The Nepali Congress, led by Prime Minister Sher Bahadur Deuba, emerged as the largest party with 89 seats, but the governing bloc falls short of the majority by two seats, leading into likely coalition government."
171,"November 21 – A 5.6 earthquake strikes near Cianjur in West Java, Indonesia, killing 635 people and injuring 7,700 more."
172,"November 30 – OpenAI releases ChatGPT, an artificial intelligence chatbot able to answer questions and write essays."
173,"December 2 – The G7 and Australia join the EU in imposing a cap of $60 a barrel on Russian crude oil, designed to ""prevent Russia from profiting from its war of aggression against Ukraine."""
174,"December 5 – The National Ignition Facility achieves fusion ignition, a major milestone in the development of nuclear fusion power."
175,"December 7 – The Congress of Peru removes President Pedro Castillo from office and arrests him after he tries to dissolve congress in a coup attempt, Vice President Dina Boluarte succeeds him."
176,"December 7 – After substantial protests against China's Zero-COVID policies, the Chinese government eases on its COVID restrictions."
177,"December 17 – Leo Varadkar succeeds Micheál Martin as Taoiseach (Prime Minister) of Ireland, as part of a rotation agreement made in 2020."
178,December 18 – Argentina wins the 2022 FIFA World Cup against runners-up France.
179,"December 19 – At the UN Biodiversity Conference (COP15), nearly 200 countries agree a landmark deal to protect a third of the planet for nature by 2030."
180,"December 21–December 26 – A major winter storm hits the northern United States and southern Canada. Killing at least 91 people, the storm also severely disrupts North American air traffic, with Southwest Airlines alone canceling more than half of its schedule."
181,"December 24 – 2022 Fijian general election: The Parliament of Fiji elects Sitiveni Rabuka as Prime Minister of Fiji, defeating incumbent Prime Minister Frank Bainimarama after a contentious election."
182,"December 29 – Brazilian football legend Pelé dies at the age of 82, with his funeral being held at the Vila Belmiro stadium in Santos."
183,"December 31 – Former Pope Benedict XVI dies at the age of 95, with his funeral being held in St. Peter's Square, presided over by Pope Francis and Cardinal Giovanni Battista Re."
184,"December 7 – The world population was estimated to have reached 8 billion on 15 November 2022, 11 years after it reached 7 billion. China was the most populous country throughout the year, followed by India. Africa was the fastest growing continent."
